return-date,order-id,,sku,CON,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,license-plate-number,customer-comments
23-03-2026,408-3515843-4364360,#N/A,MN24-RN-HS-WHITE-MON-L,408-3515843-4364360|MN24-RN-HS-WHITE-MON-L,B0DDTVQK4Y,X0023VDCDT,Maniac Mens Printed Round Neck Half Sleeve White Cotton T-Shirt,1,DEL2,SELLABLE,APPAREL_TOO_LARGE,LPNDEL2R81440537,too large
23-03-2026,408-0141184-6228319,#N/A,MN24-JOG-BAGGY-BROWN-3LINE-TAPE-L,408-0141184-6228319|MN24-JOG-BAGGY-BROWN-3LINE-TAPE-L,B0FG85ZPRN,X002CGD86B,Maniac Mens Colorblock Brown and Beige Color Baggy Fit Pant,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R79207327,
23-03-2026,403-9115659-2611511,#N/A,JC25-RN-RGLN-HS-BLK-WHT-BLACK-L,403-9115659-2611511|JC25-RN-RGLN-HS-BLK-WHT-BLACK-L,B0FFMQLJDX,X002CBS8L1,Jump Cuts Mens ColorBock Round Neck Half Sleeve Black & White Cotton Blend T-Shirt,1,DEL2,SELLABLE,FOUND_BETTER_PRICE,LPNDEL2R80101558,
23-03-2026,408-7397658-1761159,#N/A,JC24-BAGGY-HWHT-BRWN-ZIPPER-BOOTCUT-M,408-7397658-1761159|JC24-BAGGY-HWHT-BRWN-ZIPPER-BOOTCUT-M,B0DRZVGX84,X0027KOWM1,Jump Cuts Mens Colorblock Half White and Brown Polyester Zipper Cargo,1,DEL2,SELLABLE,APPAREL_TOO_SMALL,LPNDEL2R79098702,
23-03-2026,407-5675516-8209969,#N/A,NJC24-BAGGY-BLACK-WHT-ZIPPER-BOOTCUT-M,407-5675516-8209969|NJC24-BAGGY-BLACK-WHT-ZIPPER-BOOTCUT-M,B0FZVW3B7S,X002FZOCGT,Jump Cuts Men Colorblock Black & White Polyester Zipper Cargo Pant,1,BLR5,DEFECTIVE,DAMAGED_BY_FC,LPNBLR5Q7143888,Zip damage and there is hole
23-03-2026,407-9513637-2657123,#N/A,MN24-SHIRT-HS-BEIGE-POPCORN-STRP-L,407-9513637-2657123|MN24-SHIRT-HS-BEIGE-POPCORN-STRP-L,B0CXF2L133,X001Z73A8J,Maniac || Mens || Striped || Collared Neck || Half Sleeve || Popcorn Knitted || Shirt Beige,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R78073950,
23-03-2026,406-1040223-6851553,#N/A,MN24-POLO-HS-OVRS-BLK-BEG-OKALAND-M,406-1040223-6851553|MN24-POLO-HS-OVRS-BLK-BEG-OKALAND-M,B0DD3LQDFG,X0023OVTPJ,Maniac Men Cotton Tshirts ||Polo Neck|| Halfsleeve Tshirt ||Oversized Tshirts Black,1,DEL2,SELLABLE,APPAREL_TOO_SMALL,LPNDEL2R79633725,Size mistake
23-03-2026,408-7397658-1761159,#N/A,NJC24-BAGGY-BLACK-WHT-ZIPPER-BOOTCUT-M,408-7397658-1761159|NJC24-BAGGY-BLACK-WHT-ZIPPER-BOOTCUT-M,B0FZVW3B7S,X002FZOCGT,Jump Cuts Men Colorblock Black & White Polyester Zipper Cargo Pant,1,DEL2,SELLABLE,APPAREL_TOO_SMALL,LPNDEL2R75063129,
23-03-2026,405-0997739-9845162,#N/A,MN23-POLO-3-4TH-MUSTARD-TUCK-SLD-M,405-0997739-9845162|MN23-POLO-3-4TH-MUSTARD-TUCK-SLD-M,B0C6MWDFLT,X001SG1RI7,Maniac Mens Solid Polo Neck 3/4th Sleeve Mustard Oversized Cotton T-Shirt,1,DEL2,SELLABLE,APPAREL_TOO_LARGE,LPNDEL2R81138677,
23-03-2026,406-8491739-7757131,#N/A,JC23-POLO-FS-NAVY-CALIFORNIA-XL,406-8491739-7757131|JC23-POLO-FS-NAVY-CALIFORNIA-XL,B0CRPHGT7L,X001XQMRZT,Jump Cuts Men Cotton Blend Polo Neck Full Sleeve Printed Tshirts||Oversized Tshirt Navy XL,1,DEL2,SELLABLE,QUALITY_UNACCEPTABLE,LPNDEL2R79098678,Very poor product quality
23-03-2026,402-2202314-5066741,#N/A,JC24-POLO-FS-WHITE-NAVY-BRKLYN-41-S,402-2202314-5066741|JC24-POLO-FS-WHITE-NAVY-BRKLYN-41-S,B0F6MYXZWY,X002AJYNGT,Jump Cuts Mens Printed Polo Neck Full Sleeve White and Navy Cotton Blend T-Shirt,1,BOM4,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM4N37068503,
23-03-2026,404-7360364-0402738,#N/A,JC24-CARGO-BLACK-ANKZIPPER-L,404-7360364-0402738|JC24-CARGO-BLACK-ANKZIPPER-L,B0DVSVG1MN,X00289KLXZ,Jump Cuts Mens Solid Beige Ankle Zipper Polyester Cargo Pant,1,BOM4,SELLABLE,UNDELIVERABLE_REFUSED,LPNHYD8EH33135,
23-03-2026,407-8666575-1997125,#N/A,MN25-POLO-HS-HZP-CRM-BRW-HIGHSTRD-L,407-8666575-1997125|MN25-POLO-HS-HZP-CRM-BRW-HIGHSTRD-L,B0GCNNCXTD,X002H9OQ23,Maniac Mens Vertical Stripe Highstreet Polo Neck Half Sleeve Cream and Brown Corduroy Polo T-Shirt,1,DEL2,SELLABLE,APPAREL_TOO_LARGE,LPNDEL2R78023307,
23-03-2026,404-4096142-5013143,#N/A,MN23-POLO-FS-OVRS-LGRY-WHT-ACTUAL-L,404-4096142-5013143|MN23-POLO-FS-OVRS-LGRY-WHT-ACTUAL-L,B0BSN1YLBG,X001PGK1SR,Maniac Men T-Shirt || Casual Printed Oversized Polo Neck Full Sleeve Light Green and White T-Shirt,1,DEL2,SELLABLE,POOR_FIT,LPNDEL2R78023305,Does not look good on me .
23-03-2026,407-1539813-8025104,#N/A,JC23-POLO-FS-BRGUNDY-CALIFORNIA-L,407-1539813-8025104|JC23-POLO-FS-BRGUNDY-CALIFORNIA-L,B0FG83HKS4,X002CGCPAV,Jump Cuts Mens Printed Polo Neck Full Sleeve Burgundy Cottonblend Oversized T-Shirt,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R80101531,
23-03-2026,407-1539813-8025104,#N/A,JC25-POLO-FS-BLK-BEG-RED-HZP-CHICAGO-XL,407-1539813-8025104|JC25-POLO-FS-BLK-BEG-RED-HZP-CHICAGO-XL,B0FFMNZQRR,X002CBT9DR,"Jump Cuts Mens Printed Polo Neck Full Sleeve Black, Beige & Red Cotton Blend Polo T-Shirt",1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM4N33337123,
23-03-2026,406-0864755-6353156,#N/A,JC23-RN-3-4TH-BLK-WHT-ANIME-L,406-0864755-6353156|JC23-RN-3-4TH-BLK-WHT-ANIME-L,B0CKMWFZ25,X001VTF6PV,Jump Cuts||Printed Tshirt for Men||Drop Shoulder Tshirt for Men||Round Neck for Men||Cottonblend Oversized T-Shirt Black,1,BLR5,SELLABLE,APPAREL_TOO_SMALL,LPNBLR5P0712777,
23-03-2026,402-5563118-3734734,#N/A,JC24-RN-3-4TH-BEIGE-JMC-PCKT-XL,402-5563118-3734734|JC24-RN-3-4TH-BEIGE-JMC-PCKT-XL,B0CXDZNDHH,X001Z7241D,Jump Cuts||Beige Cotton Blend Oversized Printed T-Shirt for Men||Round Neck||Sleeve: 3/4||Size: XL||Fit: Loose,1,BLR5,SELLABLE,APPAREL_TOO_SMALL,LPNBLR5Q3519225,
23-03-2026,403-9704315-1321913,#N/A,JC23-RN-3-4TH-WHT-BLK-ANIME-L,403-9704315-1321913|JC23-RN-3-4TH-WHT-BLK-ANIME-L,B0BTY9X4B1,X001PVLBTP,"Jump Cuts Mens 3/4th Sleeve Printed Round Neck White and Black Cotton Blend Oversized Fit (Drop Shoulder) T-Shirt, Large",1,BLR5,CUSTOMER_DAMAGED,SWITCHEROO,LPNBLR5P0680592,
23-03-2026,404-4000152-0029927,#N/A,MN25-SWT-HD-FS-FZIP-LOSFIT1-BLK-SLD-M,404-4000152-0029927|MN25-SWT-HD-FS-FZIP-LOSFIT1-BLK-SLD-M,B0FC29QPK7,X002BT2Z1N,Maniac Mens Solid Hooded Neck Full Sleeve Full Zipper Open Black French Terry Loose fit Sweatshirt,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R78123129,
23-03-2026,408-7275013-1909905,#N/A,MN25-POLO-HS-HZIP-BROWN-FROSTKNIT-L,408-7275013-1909905|MN25-POLO-HS-HZIP-BROWN-FROSTKNIT-L,B0F9KJ9PWV,X002B9L03R,Maniac Mens Textured Half Zipper Half Sleeve Polo Neck Brown Slim Fit T-Shirt,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R78437741,
23-03-2026,407-9615714-8732321,#N/A,MN24-POLO-HS-OVRS-BISCT-BLK-OKALAND-L,407-9615714-8732321|MN24-POLO-HS-OVRS-BISCT-BLK-OKALAND-L,B0DD3KRX7P,X0023OW56B,Maniac Mens Printed Polo Neck Half Sleeve Biscuit and Black Cotton Oversized T-Shirt,1,BOM4,SELLABLE,UNDELIVERABLE_UNKNOWN,LPNBOM4N37158816,
23-03-2026,171-1552284-9113919,#N/A,JC24-POLO-FS-BLACK-BEIGE-BRKLYN-41-L,171-1552284-9113919|JC24-POLO-FS-BLACK-BEIGE-BRKLYN-41-L,B0FF1R5L2R,X002C76T2P,Jump Cuts Mens Printed Polo Neck Full Sleeve Black and Beige Cotton Blend T-Shirt,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R80312347,
23-03-2026,171-6111843-3011501,#N/A,JC24-CARGO-BLACK-WHT-SZON-L,171-6111843-3011501|JC24-CARGO-BLACK-WHT-SZON-L,B0CXJBVTQC,X001ZB7CE3,Jump Cuts||Cargo Pants for Men||Stylish Lycra Blended Mens Cargo||Drawstring Relaxed Fit Cargo Pants Black,1,BLR5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR5Q9284798,
