"marketplace","brand","order_id","payout_reference","settlement_date","total_received","pending_settlement","refunds","disputes","status","currency"
"Myntra","Maniac","MYN-0001","UTR-MYN-0001","2026-02-23","65375","1825","290","75","pending","INR"
"Myntra","Jumpcuts","MYN-0002","UTR-MYN-0002","2026-02-25","66750","2150","380","150","pending","INR"
"Myntra","Maniac","MYN-0003","UTR-MYN-0003","2026-02-27","68125","2475","470","225","pending","INR"
"Myntra","Jumpcuts","MYN-0004","UTR-MYN-0004","2026-03-01","69500","2800","1220","300","partial","INR"
"Myntra","Maniac","MYN-0005","UTR-MYN-0005","2026-03-03","70875","0","650","375","received","INR"
"Myntra","Jumpcuts","MYN-0006","UTR-MYN-0006","2026-03-05","72250","3450","740","450","pending","INR"
"Myntra","Maniac","MYN-0007","UTR-MYN-0007","2026-03-07","73625","3775","830","1970","disputed","INR"
"Myntra","Jumpcuts","MYN-0008","UTR-MYN-0008","2026-03-09","75000","4100","1940","600","partial","INR"
"Myntra","Maniac","MYN-0009","UTR-MYN-0009","2026-03-11","76375","4425","1010","675","pending","INR"
"Myntra","Jumpcuts","MYN-0010","UTR-MYN-0010","2026-03-13","77750","0","1100","750","received","INR"
"Myntra","Maniac","MYN-0011","UTR-MYN-0011","2026-03-15","79125","5075","1190","825","pending","INR"
"Myntra","Jumpcuts","MYN-0012","UTR-MYN-0012","2026-03-17","80500","5400","2660","0","partial","INR"
"Myntra","Maniac","MYN-0013","UTR-MYN-0013","2026-03-19","81875","5725","1370","75","partial","INR"
"Myntra","Jumpcuts","MYN-0014","UTR-MYN-0014","2026-02-20","83250","6050","1460","2740","disputed","INR"
"Myntra","Maniac","MYN-0015","UTR-MYN-0015","2026-02-22","84625","0","1550","225","received","INR"
"Myntra","Jumpcuts","MYN-0016","UTR-MYN-0016","2026-02-24","86000","6700","980","300","pending","INR"
"Myntra","Maniac","MYN-0017","UTR-MYN-0017","2026-02-26","87375","7025","330","375","pending","INR"
"Myntra","Jumpcuts","MYN-0018","UTR-MYN-0018","2026-02-28","88750","7350","420","450","pending","INR"
"Myntra","Maniac","MYN-0019","UTR-MYN-0019","2026-03-02","90125","7675","510","525","pending","INR"
"Myntra","Jumpcuts","MYN-0020","UTR-MYN-0020","2026-03-04","91500","0","1700","600","received","INR"
"Myntra","Maniac","MYN-0021","UTR-MYN-0021","2026-03-06","92875","8325","690","1710","disputed","INR"
"Myntra","Jumpcuts","MYN-0022","UTR-MYN-0022","2026-03-08","94250","8650","780","750","pending","INR"
"Myntra","Maniac","MYN-0023","UTR-MYN-0023","2026-03-10","95625","8975","870","825","pending","INR"
"Myntra","Jumpcuts","MYN-0024","UTR-MYN-0024","2026-03-12","97000","1500","2420","0","partial","INR"
"Myntra","Maniac","MYN-0025","UTR-MYN-0025","2026-03-14","98375","0","1050","75","received","INR"
"Myntra","Jumpcuts","MYN-0026","UTR-MYN-0026","2026-03-16","99750","2150","1140","150","pending","INR"
"Myntra","Maniac","MYN-0027","UTR-MYN-0027","2026-03-18","101125","2475","1230","225","partial","INR"
"Myntra","Jumpcuts","MYN-0028","UTR-MYN-0028","2026-03-20","102500","2800","740","2480","disputed","INR"
"Myntra","Maniac","MYN-0029","UTR-MYN-0029","2026-02-21","103875","3125","1410","375","partial","INR"
"Myntra","Jumpcuts","MYN-0030","UTR-MYN-0030","2026-02-23","105250","0","1500","450","received","INR"
"Myntra","Maniac","MYN-0031","UTR-MYN-0031","2026-02-25","106625","3775","1590","525","partial","INR"
"Myntra","Jumpcuts","MYN-0032","UTR-MYN-0032","2026-02-27","108000","4100","1460","600","partial","INR"
"Myntra","Maniac","MYN-0033","UTR-MYN-0033","2026-03-01","109375","4425","370","675","pending","INR"
"Myntra","Jumpcuts","MYN-0034","UTR-MYN-0034","2026-03-03","110750","4750","460","750","pending","INR"
"Myntra","Maniac","MYN-0035","UTR-MYN-0035","2026-03-05","64125","0","550","1450","received","INR"
"Myntra","Jumpcuts","MYN-0036","UTR-MYN-0036","2026-03-07","65500","5400","2180","0","partial","INR"
"Myntra","Maniac","MYN-0037","UTR-MYN-0037","2026-03-09","66875","5725","730","75","pending","INR"
"Myntra","Jumpcuts","MYN-0038","UTR-MYN-0038","2026-03-11","68250","6050","820","150","pending","INR"
"Myntra","Maniac","MYN-0039","UTR-MYN-0039","2026-03-13","69625","6375","910","225","pending","INR"
"Myntra","Jumpcuts","MYN-0040","UTR-MYN-0040","2026-03-15","71000","0","500","300","received","INR"
"Myntra","Maniac","MYN-0041","UTR-MYN-0041","2026-03-17","72375","7025","1090","375","pending","INR"
"Myntra","Jumpcuts","MYN-0042","UTR-MYN-0042","2026-03-19","73750","7350","1180","2220","disputed","INR"
"Myntra","Maniac","MYN-0043","UTR-MYN-0043","2026-02-20","75125","7675","1270","525","partial","INR"
"Myntra","Jumpcuts","MYN-0044","UTR-MYN-0044","2026-02-22","76500","8000","1220","600","partial","INR"
"Myntra","Maniac","MYN-0045","UTR-MYN-0045","2026-02-24","77875","0","1450","675","received","INR"
"Myntra","Jumpcuts","MYN-0046","UTR-MYN-0046","2026-02-26","79250","8650","1540","750","partial","INR"
"Myntra","Maniac","MYN-0047","UTR-MYN-0047","2026-02-28","80625","8975","230","825","pending","INR"
"Myntra","Jumpcuts","MYN-0048","UTR-MYN-0048","2026-03-02","82000","1500","1940","0","partial","INR"
"Myntra","Maniac","MYN-0049","UTR-MYN-0049","2026-03-04","83375","1825","410","2990","disputed","INR"
"Myntra","Jumpcuts","MYN-0050","UTR-MYN-0050","2026-03-06","84750","0","500","150","received","INR"
